Scholarship Name,Provider,Amount,Eligibility ,Application Link
"NSP Sainik School Scholarship Scheme, Himachal Pradesh 2025-26",Government of Himachal Pradesh,"₹18,000 per annum and other allowances",Students in Class 6 to 12,https://www.buddy4study.com/scholarship/nsp-sainik-school-scholarship-scheme-himachal-pradesh-2025
"NSP Swami Vivekanand Utkrisht Chatravriti Yojana, Himachal Pradesh 2025-26",Government of Himachal Pradesh,"₹18,000 per annum","Students studying in Class 11, 12 or professional/technical courses",https://www.buddy4study.com/page/himachal-pradesh-department-of-higher-education-scholarships
"NSP Thakur Sen Negi Utkrisht Chatravriti Yojana, Himachal Pradesh 2025-26",Government of Himachal Pradesh,"₹11,000 per annum for two years",Students studying in Class 11 or professional/technical courses,https://www.buddy4study.com/page/himachal-pradesh-department-of-higher-education-scholarships
"NSP Mukhya Mantri Vidyarthi Kalyan Yojna, Himachal Pradesh 2025",Government of Himachal Pradesh,"Up to ₹5,000 per annum",Class 1 to UG students of Himachal Pradesh,https://www.buddy4study.com/scholarship/nsp-mukhya-mantri-vidyarthi-kalyan-yojna-himachal-pradesh-2025
JSPN Scholarship 2025-26,JSPN (organization specific),Financial assistance,Indian citizens belonging to the Madhwa community,https://www.buddy4study.com/scholarship/jspn-scholarship-2025
Parivartan ECSS Programme for School Students (Merit-cum-Need Based) 2025-26,Parivartan Foundation / NGO,"Up to INR 18,000","For students in Class 1 to 12, Diploma, ITI, and Polytechnic programs",https://www.buddy4study.com/page/hdfc-bank-parivartans-ecss-programme
Free Coaching for DNT Students under SEED  (Scheme for Economic Empowerment of DNTs) 2025-26,"Ministry of Social Justice and Empowerment, Government of India","Receive coaching fees of up to ₹1,20,000",DNT students seeking coaching for entrance exams after Class 12,https://www.buddy4study.com/page/free-coaching-for-dnt-students-under-seed-scheme
Atul Maheshwari Scholarship 2025,Amar Ujala Foundation,"Up to ₹50,000 per year",Students of Class 9 to 12,https://www.buddy4study.com/scholarship/atul-maheshwari-scholarship-2025
NSP Post-Matric Scholarship For Students With Disabilities 2025-26,Government / NGO (varies),"Maintenance Allowance, Book Grant, and Disability Allowance",Students with disabilities in Class 11 to Master's degree,https://www.buddy4study.com/page/nsp-department-of-empowerment-of-persons-with-disabilities-scholarships
NEXTGEN EDU Scholarship Program 2025-26,NextGen Edu (organization specific),Support students financially for one academic year,Class 11 students pan India,https://www.buddy4study.com/page/nextgen-edu-scholarship
Jawahar Navodaya Vidyalaya Selection Test (JNVST) 2026-27,Navodaya Vidyalaya Samiti,"Free education at JNVs inclduing board and lodging, uniform and textbooks",Class 5 students,https://www.buddy4study.com/scholarship/jawahar-navodaya-vidyalaya-selection-test-jnvst-2026
NSP Pre-Matric Scholarship for Students with Disabilities 2025-26,"Ministry of Social Justice and Empowerment, Government of India","A maintenance allowance of up to ₹800 and disability allowance up to ₹4,000",Students with disabilities in Class 9 or 10,https://www.buddy4study.com/page/nsp-department-of-empowerment-of-persons-with-disabilities-scholarships
"NSP Post-Matric Scholarship for ST Students, Manipur 2025",Government of Manipur,"A monthly maintenance allowance up to ₹1,200 and other benefits",ST students in Class 11 and above,https://www.buddy4study.com/scholarship/nsp-postmatric-scholarship-for-st-students-manipur-2025
"NSP Pre-Matric Scholarship For ST Students (Class 9 & 10), Manipur 2025",Government of Manipur,Up to ₹350 per month for 10 months and other benefits,ST Students stuyding in Class 9 and 10,https://www.buddy4study.com/scholarship/nsp-prematric-scholarship-for-st-students-class-9-and-10-manipur-2025
Shri Tulsi Tanti Shakti Scholarship Program for Class 09th Girl Students 2025-26,Suzlon Group,"INR 6,000 per year",For Class 9 girl students,https://www.buddy4study.com/page/suzlon-scholarship-program
"Gagan Bharari Shiksha Yojana for SC & OBC Students, Goa 2025",Government of Goa,"Up to ₹1,500 per month",SC and OBC students pursuing postmatric studies,https://www.buddy4study.com/scholarship/gagan-bharari-shiksha-yojana-for-sc-and-obc-students-goa-2025
"Pre-Matric Scholarship Scheme for Children of Parents/Guardians Unclean/Hazardous Occupation, Goa 2025",Government of Goa,"Up to ₹8,000 per annum",Children/wards of parents/guardians involved in unclean and hazardous occupation,https://www.buddy4study.com/scholarship/prematric-scholarship-scheme-for-children-of-parents-guardians-unclean-hazardous-occupation-goa-2025
"Merit Based Award for SC Students, Goa 2025",Government of Goa,"Up to ₹20,000",SC students pursuing higher education,https://www.buddy4study.com/scholarship/merit-based-award-for-sc-students-goa-2025
"Kanya Dhan Scheme for SC Students, Goa 2025",Government of Goa,"₹25,000",Female SC school students,https://www.buddy4study.com/scholarship/kanya-dhan-scheme-for-sc-students-goa-2025
The Ian Parry Photojournalism Grant 2025,Ian Parry Scholarship (Foundation),"A grant of GBP 10,000 and other benefits",Students enrolled in a full-time photography course,https://www.buddy4study.com/scholarship/the-ian-parry-photojournalism-grant-2025
Mahindra All India Talent Scholarship (MAITS) 2025,Mahindra Group,"₹10,000 per annum for a maximum period of 3 years",SSC/HSC or equivalent passed students,https://www.buddy4study.com/scholarship/mahindra-all-india-talent-scholarship-maits-2025
SOF International Computer Science Olympiad (ICSO) 2025-26,Science Olympiad Foundation (SOF),"Up to ₹50,000 and other benefits",Class 1 to 10 students,https://www.buddy4study.com/scholarship/sof-international-computer-science-olympiad-icso-2025
"PM Yasasvi Post-Matric Scholarship Scheme for OBC Students, DNHDD 2025-26",Government of Dadra and Nagar Haveli and Daman & Diu,"An annual scholarship up to ₹20,000",Class 11 to postdoctoral level students,https://www.buddy4study.com/page/dadra-nagar-haveli-and-daman-diu-scholarships
"Umbrella Scheme Pre-Matric Scholarship For ST Students (Class 9 & 10), Meghalaya 2025",Government of Meghalaya,"An annual scholarship of up to ₹5,250 and other grants",ST Students studying in Class 9 and 10,https://www.buddy4study.com/scholarship/umbrella-scheme-prematric-scholarship-for-st-students-class-9-and-10-meghalaya-2025
"NSP Centrally Sponsored Scheme Of Post-Matric Scholarship For SC Students, Meghalaya 2025-26",Government of Meghalaya,"An annual academic allowance of up to ₹13,500 and other benefits",SC students of Class 11 and above,https://www.buddy4study.com/scholarship/nsp-postmatric-scholarship-for-sc-students-meghalaya-2025
"NSP Post-Matric Scholarship for OBC Students, Assam 2025-26",Government of Assam,"Scholarships up to ₹20,000 and other benefits",OBC students studying in Class 11 and above,https://www.buddy4study.com/scholarship/nsp-postmatric-scholarship-for-obc-students-assam-2025
